ID,Betrieb,Feldname,Fläche (ha),Erntejahr,Aussaattermin,Erntedatum,Kultur,realer Ertrag (dt / ha),reale N-Menge (kg N / ha),Unnamed: 11,Unnamed: 12
,Farm 9,Field 363,3.65,2018.0,2017-09-01 00:00:00,2018-07-23 00:00:00.000,Winterraps,33.46027397260274,198.0,,
,Farm 9,Field 363,3.6577,2023.0,2022-09-21 00:00:00,2023-07-08 00:00:00.000,Wintergerste,70.12465219970943,178.0,,
,Farm 9,Field 364,7.7669,2023.0,2022-10-05 00:00:00,2023-08-10 14:24:00.000,Winterweichweizen,85.59598759136746,199.0,,
,Farm 9,Field 365,5.86,2020.0,2019-09-22 00:00:00,2020-07-23 00:00:00.000,Wintergerste,80.48733592798834,167.0,,
,Farm 9,Field 366,5.875,2023.0,2022-09-21 00:00:00,2023-07-08 00:00:00.000,Wintergerste,86.25965867861142,174.0,,
,Farm 9,Field 367,6.4,2020.0,2019-09-22 00:00:00,2020-07-23 00:00:00.000,Wintergerste,74.73933771929825,167.0,,
,Farm 9,Field 367,6.4,2019.0,2018-10-05 00:00:00,2019-08-24 00:00:00.000,Winterweichweizen,77.50937499999999,190.0,,
,Farm 9,Field 367,6.4799,2023.0,2022-09-21 00:00:00,2023-07-09 00:00:00.000,Wintergerste,91.5640772739526,182.0,,
,Farm 9,Field 367,6.4,2018.0,2017-08-27 00:00:00,2018-08-02 00:00:00.000,Winterraps,27.990624999999998,197.0,,
,Farm 9,Field 368,2.0584,2023.0,2022-09-25 00:00:00,2023-07-16 00:00:00.000,Wintergerste,84.78575592693355,186.0,,
,Farm 9,Field 368,2.06,2020.0,2019-10-31 00:00:00,2020-08-05 00:00:00.000,Winterweichweizen,69.25068372792823,172.0,,
